tournament,count
2GG Prime Saga Kickoff,250
2GG X MetaShift: Ultimate Nimbus,451
2GG: Breakthrough 2019 - An Arcadian Story,1898
2GG: Grand Tour - Ohio,214
2GG: Prime Saga,1331
2GG: Run it Back,296
2GG: SwitchFest 2019,747
4 Seasons Tournament : Fall 2019,161
6 Rugs and a Bracket #04,64
6 Rugs and a Bracket #05,56
6 Rugs and a Bracket #06,48
8. KSC,37
A-Kon 2019 Electronic Gaming,194
A1 eSports Rise of the Legends,187
ABB SSBU Weekly #6,17
ANIME Impulse Smash Ultimate,157
AON Smash Ultimate #005,217
AON Smash Ultimate #006,212
AON Smash Ultimate #007,220
AON Smash Ultimate #009,206
AON Smash Ultimate #011,227
AON Smash Ultimate #012,201
AON Smash Ultimate #014,291
AON Smash Ultimate #015,264
AON Smash Ultimate #024,253
AON Smash Ultimate #025,240
AON Smash Ultimate #026,252
AON Smash Ultimate #027,220
AON Smash Ultimate #028,283
AON Smash Ultimate #029,232
AON Smash Ultimate #030,293
AON Smash Ultimate #031,270
AON Smash Ultimate #037,216
AON Smash Ultimate #038,210
AON Smash Ultimate #041,129
AON Smash Ultimate #044,134
Albion 4,2037
Anchor Down Smash 11,18
AnimeNEXT 2019,114
Ann Arbor Arena #18,92
Ann Arbor Arena #19,72
Antelope Valley Fight Night,47
Antelope Valley Fight Night 1/18,31
April Annihilation 2019,202
Ascension,401
Ascension II,361
Ascension III,478
Ascension IV,569
Ascension IX,487
Ascension VI,510
B-Town Beatdown 55,200
BAM11 Battle Arena Melbourne 11,624
BIT MASTER MTY VOL.1,327
BREAKOUT Spring 2019,213
Bailrigg 8,279
Batter-Up Smash -- Ultimate Weekly #41,33
Batter-Up Smash -- Ultimate Weekly #42,41
Battery Basement: Lights Out,610
Battle City,40
Battle For The East,70
"Battle Subway ($200+ Pot Bonus, In-Venue Ramen, and more!)",178
Battle of BC 3,1350
Battlefield Copenhagen January 2019,6
Battlegate,781
Be Mine?,765
Bifrost III - Sessrumnir,278
BigWinChampionship 2,557
BigWinSmash Ultimate Showdown #2,528
BigWinSmash Ultimate Showdown #4,381
BigWinSmash: Ultimate Showdown #3,407
Biggie II,219
Bit Master Mty #5,539
Bit Master Mty #7,744
Bit Master Mty - 2nd Strike,456
Bit Master Mty - 3rd Impact,516
Bit Master Mty Round 4,336
Blink Fighting Fest 2019,55
Blink Respawn,251
Bourbon State Gaming: Barrel Bash IV,264
Bourbon State Gaming: Smash Madness,211
Bourbon State Gaming: UNCONTESTED,243
Brave New World,2
Brawl On The Bay: $1500+ Prize Pool!,281
Brussels Challenge Major Edition 2019,232
Buccaneer Brawl,346
BurlingTown & City #1,19
Button Mashers 2: Salty Runbacks,18
