tournament,count
2GG Prime Saga Kickoff,310
2GG X MetaShift: Ultimate Nimbus,519
2GG: Breakthrough 2019 - An Arcadian Story,2239
2GG: Grand Tour - Ohio,248
2GG: Prime Saga,1607
2GG: Run it Back,329
2GG: SwitchFest 2019,892
4 Seasons Tournament : Fall 2019,162
6 Rugs and a Bracket #04,66
6 Rugs and a Bracket #05,60
6 Rugs and a Bracket #06,56
8. KSC,39
A-Kon 2019 Electronic Gaming,230
A1 eSports Rise of the Legends,216
ABB SSBU Weekly #6,17
ANIME Impulse Smash Ultimate,321
AON Smash Ultimate #005,225
AON Smash Ultimate #006,214
AON Smash Ultimate #007,220
AON Smash Ultimate #009,208
AON Smash Ultimate #011,230
AON Smash Ultimate #012,202
AON Smash Ultimate #014,298
AON Smash Ultimate #015,278
AON Smash Ultimate #024,260
AON Smash Ultimate #025,242
AON Smash Ultimate #026,254
AON Smash Ultimate #027,224
AON Smash Ultimate #028,295
AON Smash Ultimate #029,245
AON Smash Ultimate #030,328
AON Smash Ultimate #031,284
AON Smash Ultimate #037,218
AON Smash Ultimate #038,219
AON Smash Ultimate #041,133
AON Smash Ultimate #044,139
Albion 4,2153
Anchor Down Smash 11,18
AnimeNEXT 2019,143
Ann Arbor Arena #18,92
Ann Arbor Arena #19,73
Antelope Valley Fight Night,47
Antelope Valley Fight Night 1/18,32
April Annihilation 2019,202
Ascension,506
Ascension II,416
Ascension III,792
Ascension IV,892
Ascension IX,831
Ascension VI,718
B-Town Beatdown 55,234
BAM11 Battle Arena Melbourne 11,678
BIT MASTER MTY VOL.1,431
BREAKOUT Spring 2019,254
Bailrigg 8,374
Batter-Up Smash -- Ultimate Weekly #41,34
Batter-Up Smash -- Ultimate Weekly #42,41
Battery Basement: Lights Out,742
Battle City,40
Battle For The East,78
"Battle Subway ($200+ Pot Bonus, In-Venue Ramen, and more!)",236
Battle of BC 3,1458
Battlefield Copenhagen January 2019,8
Battlegate,781
Be Mine?,922
Bifrost III - Sessrumnir,298
BigWinChampionship 2,657
BigWinSmash Ultimate Showdown #2,562
BigWinSmash Ultimate Showdown #4,413
BigWinSmash: Ultimate Showdown #3,440
Biggie II,231
Bit Master Mty #5,721
Bit Master Mty #7,897
Bit Master Mty - 2nd Strike,609
Bit Master Mty - 3rd Impact,661
Bit Master Mty Round 4,539
Blink Fighting Fest 2019,63
Blink Respawn,254
Bourbon State Gaming: Barrel Bash IV,304
Bourbon State Gaming: Smash Madness,215
Bourbon State Gaming: UNCONTESTED,257
Brave New World,2
Brawl On The Bay: $1500+ Prize Pool!,306
Brussels Challenge Major Edition 2019,261
Buccaneer Brawl,410
BurlingTown & City #1,19
Button Mashers 2: Salty Runbacks,18
CEO 2019 Fighting Game Championships,4652
CFL Smackdown Ultimate #4,298
